ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
225
ITEM: BOX BOUNDS ff ff pp
0 40
0 20
-1 1
ITEM: ATOMS x y c_ps v_speed 
14.95 16.25 0 0.377789 
16.25 16.25 0 0.362282 
17.55 16.25 0 0.252142 
18.85 16.25 0 0.223942 
0.65 17.55 0 0.330926 
1.95 17.55 0 0.139698 
3.25 17.55 0 0.0907332 
4.55 17.55 0 0.115981 
5.85 17.55 0 0.211521 
7.15 17.55 0 0.133925 
8.45 17.55 0 0.279245 
9.75 17.55 0 0.181878 
11.05 17.55 0 0.163879 
12.35 17.55 0 0.196771 
13.65 17.55 0 0.206425 
14.95 17.55 0 0.0669327 
16.25 17.55 0 0.0932118 
17.55 17.55 0 0.280807 
18.85 17.55 0 0.100293 
0.65 18.85 0 0.0635644 
1.95 18.85 0 0.199771 
3.25 18.85 0 0.126783 
4.55 18.85 0 0.101004 
5.85 18.85 0 0.336226 
7.15 18.85 0 0.162084 
8.45 18.85 0 0.163165 
9.75 18.85 0 0.119678 
11.05 18.85 0 0.175317 
12.35 18.85 0 0.185896 
13.65 18.85 0 0.0606489 
14.95 18.85 0 0.0392351 
16.25 18.85 0 0.136852 
17.55 18.85 0 0.133065 
18.85 18.85 0 0.163523 
ITEM: TIMESTEP
500
ITEM: NUMBER OF ATOMS
225
ITEM: BOX BOUNDS ff ff pp
0 40
0 20
-1 1
ITEM: ATOMS x y c_ps v_speed 
0.657634 0.663615 0 0.478483 
1.95988 0.65438 0 0.405802 
3.26158 0.655072 0 0.440709 
4.54337 0.654424 0 0.188362 
5.85429 0.653361 0 0.304156 
7.15326 0.659289 0 0.368049 
8.4585 0.662879 0 0.487085 
9.75315 0.666367 0 0.488962 
11.0583 0.657888 0 0.419886 
12.3642 0.665087 0 0.596786 
13.662 0.662565 0 0.532763 
14.9565 0.663383 0 0.485556 
16.2511 0.647841 0 0.179696 
17.5628 0.653943 0 0.406681 
18.8446 0.656509 0 0.335198 
0.659278 1.9525 0 0.387205 
1.94618 1.95378 0 0.178644 
3.26101 1.95016 0 0.399484 
4.54335 1.9532 0 0.147972 
5.85717 1.93828 0 0.344538 
7.16342 1.95847 0 0.497899 
8.45887 1.95621 0 0.402123 
9.76381 1.96058 0 0.526979 
11.051 1.95629 0 0.295519 
12.3644 1.95751 0 0.502279 
13.6547 1.95257 0 0.296131 
14.9431 1.97174 0 0.569178 
16.2511 1.95925 0 0.366364 
17.5524 1.97927 0 0.749563 
18.8524 1.96562 0 0.497275 
0.656855 3.24854 0 0.329562 
1.96173 3.25042 0 0.416647 
3.25561 3.24607 0 0.294721 
4.56416 3.25532 0 0.484326 
5.8494 3.24297 0 0.184888 
7.15885 3.2602 0 0.441233 
8.46212 3.25401 0 0.438785 
9.75968 3.25344 0 0.391119 
11.0595 3.24714 0 0.353587 
12.3472 3.25836 0 0.291209 
13.6557 3.25346 0 0.322909 
14.9472 3.25853 0 0.315282 
16.2633 3.26031 0 0.510968 
17.5435 3.25 0 0.18275 
18.845 3.25734 0 0.335987 
0.66358 4.55002 0 0.460717 
1.95558 4.54885 0 0.298942 
